gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison
Cfp	265.214977822729	-0.4627196140241221	0.10519555976611394	-4.3986610751718755	1.0892077115844453e-5	9.593171418709268e-4	het_vs_wt
Ptpn9	732.3065706182389	-0.3193663485312202	0.0726398705808189	-4.396571001264301	1.0997439802972529e-5	9.593171418709268e-4	het_vs_wt
Itsn1	3887.4799579232845	-0.21999059090807593	0.05011134403862703	-4.390035731999164	1.1333203653595403e-5	9.795956286223102e-4	het_vs_wt
Snapc2	496.8946457021258	0.30388477536159486	0.06939641166072291	4.37896957622649	1.192417755077828e-5	0.0010241121662082442	het_vs_wt
Txnrd1	986.4577003234305	-0.25167621261557954	0.057555316884661166	-4.3727708618116	1.2267946609753774e-5	0.0010469683043412652	het_vs_wt
Tmem245	158.89689932574944	-0.5640717018641797	0.12904843340059996	-4.3710077449228235	1.2367440547315256e-5	0.0010488211845282951	het_vs_wt
Phip	521.3607510547936	-0.4402976497426639	0.10098731135946985	-4.359930409231318	1.3010381305488854e-5	0.0010964498845200733	het_vs_wt
Wdfy2	129.2911902017673	-0.5216181350373843	0.11990579164852448	-4.350233027662123	1.3599293515681584e-5	0.0011389619488537297	het_vs_wt
B4gat1	2233.110928361103	0.29181966639088386	0.06718572016971866	4.34347753739507	1.4024482337406715e-5	0.001167321727392544	het_vs_wt
Trmt61a	441.55809367490116	0.35180400466640765	0.08104224766450725	4.340995157523025	1.418388496763154e-5	0.0011733466558499612	het_vs_wt
Klf4	249.40934017615552	-0.5832955174351194	0.13452425339874519	-4.335987769478008	1.4510701243876751e-5	0.0011930627778806958	het_vs_wt
Tmem151b	5193.320430199981	-0.40168887683365384	0.09273348608289539	-4.331648618003858	1.4799699861078944e-5	0.001209449411677506	het_vs_wt
Zfp704	1212.4978755571262	-0.39474928290770034	0.09126380202549006	-4.325365305265789	1.5227929447990177e-5	0.0012369481968475878	het_vs_wt
Sfpq	2875.353911821884	-0.3407954141295077	0.07942171601265917	-4.290960095538451	1.779022843174867e-5	0.001436427785471252	het_vs_wt
Psd3	7122.728916668298	-0.36983027970507376	0.08634703434932102	-4.283068694738349	1.843332297369342e-5	0.0014794936129600125	het_vs_wt
Tnfrsf25	240.52001116358227	-0.581925261868658	0.1360116610333428	-4.278495369055165	1.8816090399775316e-5	0.0015012790707134341	het_vs_wt
Chmp6	624.6896603197614	0.25781902893327324	0.060416872199809714	4.2673349272471155	1.97822049226967e-5	0.001569077948103778	het_vs_wt
